title,artist,album,filename,duration
"Meine Gang","Anton",,"Anton - Meine Gang.mp3",149577
"Ich mag den Regen","Bürger Lars Dietrich",,"Bürger Lars Dietrich - Ich mag den Regen.mp3",193985
"Die Räder vom Bus","Kinderlieder-Superstar",,"Kinderlieder-Superstar - Die Räder vom Bus.mp3",130977
"Die Räder vom Bus","Kinderlieder-Superstar",,"Kinderlieder-Superstar - Die Räder vom Bus_2.mp3",130977
"Große Uhren machen tick tack","Kinderlieder-Superstar",,"Kinderlieder-Superstar - Große Uhren machen tick tack.mp3",101982
"Große Uhren machen tick tack","Kinderlieder-Superstar",,"Kinderlieder-Superstar - Große Uhren machen tick tack_2.mp3",101982
"Laterne, Laterne","Kinderlieder-Superstar",,"Kinderlieder-Superstar - Laterne, Laterne.mp3",104568
"Laterne, Laterne","Kinderlieder-Superstar",,"Kinderlieder-Superstar - Laterne, Laterne_2.mp3",104568
"Zehn kleine Zappelmänner","Kinderlieder-Superstar",,"Kinderlieder-Superstar - Zehn kleine Zappelmänner.mp3",68493
"Zehn kleine Zappelmänner","Kinderlieder-Superstar",,"Kinderlieder-Superstar - Zehn kleine Zappelmänner_2.mp3",68493
"Folge 1: Will nicht essen - Teil 1","Leo Lausemaus",,"Leo Lausemaus - Folge 1_ Will nicht essen - Teil 1.mp3",133459
"Folge 1: Will nicht essen - Teil 1","Leo Lausemaus",,"Leo Lausemaus - Folge 1_ Will nicht essen - Teil 1_2.mp3",133459
"Leo Lausemaus Titelsong","Leo Lausemaus",,"Leo Lausemaus - Leo Lausemaus Titelsong.mp3",127425
"Leo Lausemaus Titelsong","Leo Lausemaus",,"Leo Lausemaus - Leo Lausemaus Titelsong_2.mp3",127425
"Ahoi, Piraten (Das Piraten-Lied)","Sing Kinderlieder",,"Sing Kinderlieder - Ahoi, Piraten (Das Piraten-Lied) (Das Piraten-Lied).mp3",149106
"Ahoi, Piraten (Das Piraten-Lied)","Sing Kinderlieder",,"Sing Kinderlieder - Ahoi, Piraten (Das Piraten-Lied) (Das Piraten-Lied)_2.mp3",149106
"Autos raten, das macht Spaß","Sing Kinderlieder",,"Sing Kinderlieder - Autos raten, das macht Spaß.mp3",240195
"Autos raten, das macht Spaß","Sing Kinderlieder",,"Sing Kinderlieder - Autos raten, das macht Spaß_2.mp3",240195
"Bruno, der Brummi","Sing Kinderlieder",,"Sing Kinderlieder - Bruno, der Brummi.mp3",179226
"Bruno, der Brummi","Sing Kinderlieder",,"Sing Kinderlieder - Bruno, der Brummi_2.mp3",179226
